"RiskPercent","WinRate","RewardRiskRatio","EndBalance"
0.017,33,10,8966111.80773323
0.019,30,10,8965984.85316604
0.025,29,9,8936222.69749231
0.029,37,6,8889765.12332191
0.021,35,8,8887755.45327434
0.018,39,8,8836552.61414427
0.027,33,7,8824720.40862986
0.018,35,9,8799851.04196529
0.026,30,8,8791806.76280197
0.027,27,9,8746113.31935277
0.022,38,7,8698712.53011279
0.029,36,6,8675979.83479754
0.023,36,7,8655259.5016688
0.02,32,9,8654231.26942522
0.017,36,9,8632932.23199284
0.027,38,6,8630657.05485681
0.028,38,6,8617072.84173051
0.022,28,10,8609334.30622168
0.026,27,9,8574108.98915532
0.024,37,7,8572127.60704229
0.023,33,8,8569403.96894423
0.029,32,7,8502573.48585968
0.014,38,10,8494997.75256252
0.026,39,6,8418629.92214633
0.03,35,6,8411443.29035898
0.017,39,8,8405811.00172575
0.013,40,10,8376418.55065312
0.022,30,9,8349031.67656867
0.02,40,7,8335822.91523367
0.025,28,9,8270461.94317032
0.029,25,9,8256618.99808735
0.027,25,10,8252141.60963543
0.021,34,8,8194508.24054378
0.026,38,6,8162309.75670378
0.019,33,9,8123411.20593877
0.025,31,8,8117891.19159724
0.025,40,6,8024912.02083468
0.018,38,8,8018553.15541441
0.028,32,7,7891009.86499042
0.023,26,10,7880515.51700797
0.022,33,8,7875358.90900712
0.03,31,7,7851785.43515522
0.03,25,9,7792353.3553698
0.024,40,6,7755154.42466349
0.021,39,7,7736993.19571751
0.02,29,10,7729965.02367067
0.021,28,10,7713222.1135853
0.015,36,10,7710693.56158946
0.025,30,8,7708823.9083117
0.029,35,6,7681742.94980108
0.017,40,8,7657218.00263319
0.022,37,7,7650566.80642432
0.019,36,8,7649100.52749556
0.017,32,10,7635092.10671503
0.015,40,9,7604989.82056027
0.021,38,7,7595414.93228785
0.019,37,8,7584022.58336497
0.016,34,10,7583537.38119183
0.014,37,10,7580576.23855055
0.018,31,10,7571202.74134094
0.025,39,6,7561638.1629284
0.027,37,6,7533293.95171597
0.027,25,9,7479592.11429293
0.018,32,10,7467073.46354333
0.016,40,8,7438124.16062628
0.029,28,8,7435984.1433697
0.022,27,10,7428863.80064489
0.026,24,10,7379947.83647999
0.025,34,7,7315606.45590501
0.027,29,8,7307100.38729127
0.015,39,9,7237922.80696483
0.02,28,10,7236688.10644707
0.023,32,8,7217627.63315682
0.023,31,8,7217627.63315673
0.018,34,9,7181304.71781686
0.029,31,7,7178970.72752824
0.028,36,6,7168054.42493713
0.016,37,9,7161578.52648595
0.02,31,9,7157782.17398733
0.023,29,9,7131426.51644515
0.024,31,8,7110775.31073613
0.027,26,9,7067730.30065506
0.03,22,10,7008919.78125286
0.026,23,10,6990066.27043965
0.028,37,6,6946904.71090359
0.017,35,9,6933974.63573747
0.013,39,10,6926409.75647912
0.016,33,10,6896459.1889092
0.03,27,8,6839278.19319926
0.015,35,10,6836250.17496223
0.028,28,8,6810227.8055507
0.027,24,10,6784838.47912823
0.028,35,6,6680037.51343857
0.025,27,9,6655260.10313054
0.029,27,8,6630016.6589591
0.02,39,7,6610777.7431428
0.014,36,10,6600044.90875345
0.027,31,7,6579998.77823746
0.022,36,7,6576610.75726424
0.024,25,10,6567274.53471854
0.022,26,10,6567117.05271574
0.019,35,8,6558686.14997162
0.023,40,6,6533193.74401897
0.018,36,8,6528305.99452504
0.025,24,10,6519802.59794991
0.016,36,9,6496040.41612417
0.024,27,9,6483242.70292082
0.018,37,8,6475673.31300314
0.023,35,7,6473050.93046646
0.021,33,8,6410546.89949171
0.028,27,8,6362695.76037275
0.015,34,10,6347362.86251697
0.024,28,9,6344837.61400237
0.019,40,7,6337139.65460438
0.03,24,9,6336907.42367776
0.027,28,8,6286023.62413191
0.029,22,10,6282149.20317998
0.025,33,7,6272188.26321736
0.024,35,7,6270029.35931742
0.018,32,9,6207671.9806459
0.018,33,9,6196516.24337516
0.028,25,9,6167381.95572977
0.02,35,8,6161570.83101642
0.026,37,6,6145938.99225964
0.026,33,7,6137391.14228154
0.019,32,9,6121854.495995
0.015,37,9,6119222.02429171
0.023,28,9,6099793.83968599
0.03,34,6,6063204.5926419
0.014,39,9,6052285.98522423
0.014,40,9,6026933.85386397
0.021,30,9,5996606.291314
0.019,29,10,5991923.00585616
0.027,36,6,5982914.70429141
0.024,34,7,5964927.72150981
0.028,22,10,5956422.73235295
0.018,30,10,5947597.54429724
0.015,38,9,5911831.30771048
0.03,39,5,5904527.76450161
0.017,38,8,5877409.35010295
0.029,40,5,5872917.54558085
0.024,30,8,5855458.87131467
0.023,25,10,5848363.23581917
0.016,35,9,5826767.51124758
0.025,26,9,5815590.50840976
0.017,34,9,5801139.96492935
0.03,40,5,5788836.61792535
0.024,39,6,5780752.90478854
0.03,30,7,5762775.35508344
0.019,28,10,5734840.13347353
0.025,29,8,5716616.5822688
0.022,32,8,5681924.62848541
0.016,39,8,5642309.02066756
0.02,34,8,5611382.92034447
0.021,32,8,5595510.00852507
0.025,38,6,5587471.60684869
0.026,26,9,5585603.78632423
0.026,32,7,5577799.22397564
0.02,38,7,5571163.56387613
0.022,29,9,5559472.5943514
0.022,40,6,5558643.47998857
0.029,30,7,5550343.13803035
0.013,38,10,5550128.92952212
0.028,31,7,5528203.47829437
0.022,35,7,5515904.06803106
0.019,39,7,5510564.92195944
0.027,35,6,5505810.16560212
0.021,36,7,5502418.79231905
0.021,29,9,5502298.54841178
0.015,33,10,5462959.51318766
0.029,34,6,5430155.8542455
0.012,39,10,5405521.93830683
0.024,38,6,5405268.97840735
0.03,29,7,5401503.96960523
0.027,23,10,5399346.03221101
0.026,29,8,5380959.91937236
0.03,26,8,5379708.0321265
0.016,32,10,5353499.17812101
0.022,31,8,5333345.67372645
0.019,34,8,5324447.18003551
0.027,32,7,5302663.77990449
0.023,39,6,5300049.41890351
0.027,30,7,5279824.13274595
0.03,23,9,5246794.13064229
0.024,33,7,5225300.01185872
0.023,34,7,5143871.84682223
0.027,24,9,5141181.51503081
0.012,40,10,5120900.04396859
0.013,37,10,5115927.94636619
0.024,37,6,5113926.19916698
0.028,39,5,5104149.92245256
0.028,30,7,5077476.06100089
0.03,33,6,5062061.20562651
0.021,27,10,5044492.77673164
0.022,28,9,5035889.88416451
0.023,27,9,5029056.89006418
0.022,34,7,5016127.53547846
0.017,31,10,5014463.8564929
0.017,37,8,5005621.4792321
0.025,37,6,4969653.32417805
0.018,40,7,4950332.18991385
0.02,33,8,4947514.37192109
0.021,37,7,4941828.70400617
0.016,38,8,4935472.00495471
0.021,40,6,4933536.40005853
0.019,31,9,4911760.2640968
0.014,38,9,4906464.14709543
0.028,40,5,4877921.93345868
0.025,32,7,4875945.69131863
0.029,24,9,4859471.60887657
0.012,38,10,4844868.61266183
0.027,40,5,4841276.91075423
0.02,27,10,4840052.22093694
0.015,40,8,4833542.40780968
0.028,26,8,4811485.43587066
0.029,39,5,4800060.32417958
0.018,29,10,4774957.96160805
0.017,30,10,4732250.13020007
0.013,40,9,4719726.37536896
0.021,26,10,4717930.85372675
0.028,29,7,4705434.83569739
0.016,34,9,4702994.67835111
0.026,28,8,4698625.94143011
0.023,38,6,4697523.75927497
0.014,35,10,4697125.21612434
0.023,30,8,4674750.59861668
0.028,21,10,4671387.30001066
0.017,33,9,4667400.40891171
0.021,28,9,4652044.79034928
0.025,36,6,4650113.38693564
0.026,36,6,4644545.51559025
0.019,38,7,4641348.54631941
0.018,35,8,4639203.19894555
0.015,35,9,4623274.01242998
0.03,38,5,4614794.22713481
0.026,30,7,4597464.65831548
0.029,21,10,4597438.6125984
0.02,37,7,4583766.03528667
0.014,34,10,4561762.59054774
0.029,26,8,4519159.97305948
0.023,33,7,4489493.64193907
0.025,25,9,4485284.53617002
0.018,31,9,4482676.32829434
0.027,22,10,4465710.681334
0.026,31,7,4456346.66131742
0.024,29,8,4451693.09920898
0.03,25,8,4430169.70633705
0.016,31,10,4427376.11405276
0.019,30,9,4407971.45662296
0.025,28,8,4404405.05649482
0.021,35,7,4401249.16647586
0.027,34,6,4397541.23024413
0.014,37,9,4386870.9971668
0.018,39,7,4380315.36357794
0.025,23,10,4377780.83926394
0.022,25,10,4375045.10700769
0.013,39,9,4365755.93179648
0.026,25,9,4364261.59334083
0.022,27,9,4346277.74884515
0.02,32,8,4330913.29438842
0.03,21,10,4317761.75617519
0.029,23,9,4302820.54679326
0.02,30,9,4299968.44809889
0.024,26,9,4292273.35717158
0.015,38,8,4275042.57066668
0.02,36,7,4272346.20284771
0.015,39,8,4269278.18046451
0.024,24,10,4261434.12726521
0.029,33,6,4256912.93547101
0.013,36,10,4254582.42666465
0.023,24,10,4253368.51174812
0.03,28,7,4239711.71622766
0.023,29,8,4232935.39204431
0.02,29,9,4231770.52565269
0.024,36,6,4223069.54411727
0.019,33,8,4220288.04707332
0.022,39,6,4207073.46831203
0.015,36,9,4194027.80213609
0.024,32,7,4190713.51191435
0.019,37,7,4185825.01521959
0.012,37,10,4184884.82938659
0.011,40,10,4174160.95848649
0.013,35,10,4152459.58188022
0.018,28,10,4132828.77356366
0.014,36,9,4090451.61261639
0.019,27,10,4080341.86331837
0.022,30,8,4067088.42382479
0.014,33,10,4051972.16465541
0.017,35,8,4047170.51515984
0.016,37,8,4029014.94844843
0.017,36,8,4022492.10337129
0.018,34,8,4016670.68573102
0.026,40,5,4008458.01374074
0.028,34,6,3990849.12774842
0.014,40,8,3985671.20048006
0.021,31,8,3982916.1589439
0.013,38,9,3965537.23019835
0.026,27,8,3961431.06575369
0.029,29,7,3956793.72233792
0.03,37,5,3939139.18881485
0.017,40,7,3921730.0428803
0.012,36,10,3891981.28612568
0.018,30,9,3888885.19692894
0.03,32,6,3885967.38315527
0.029,32,6,3877659.90339939
0.024,28,8,3877383.09516881
0.02,26,10,3876471.06685741
0.015,32,10,3857716.55432506
0.028,24,9,3855113.24146942
0.029,25,8,3854639.44744836
0.027,26,8,3840122.14035793
0.018,38,7,3826053.11746597
0.015,31,10,3819739.08506285
0.017,32,9,3813089.22559507
0.017,39,7,3795854.41121622
0.027,27,8,3793790.45145891
0.016,33,9,3783837.09785999
0.021,27,9,3779460.50545101
0.027,23,9,3770161.01461055
0.022,24,10,3766044.13543753
0.03,20,10,3759642.55778315
0.018,29,9,3758226.35442518
0.029,38,5,3730247.81953776
0.022,38,6,3725399.59543062
0.028,33,6,3719143.3411957
0.028,38,5,3710002.29841262
0.019,32,8,3706283.852733
0.026,24,9,3705503.29891492
0.021,39,6,3704530.07066185
0.029,22,9,3701156.61251505
0.017,29,10,3677171.00258107
0.02,31,8,3670376.46769682
0.027,33,6,3668298.42049909
0.023,23,10,3664146.81402777
0.016,30,10,3655032.86617846
0.014,39,8,3644756.39985268
0.027,39,5,3634942.17817552
0.02,35,7,3629376.84282439
0.024,31,7,3622107.18125448
0.025,27,8,3621999.56171982
0.02,28,9,3613752.53519363
0.013,34,10,3599462.07533875
0.023,26,9,3595708.22280876
0.026,21,10,3582395.38320858
0.021,25,10,3568424.1674743
0.027,38,5,3559231.1966894
0.025,35,6,3552174.20181691
0.023,36,6,3550386.38237934
0.018,27,10,3548856.53414651
0.026,34,6,3548441.2400465
0.013,37,9,3546280.93033665
0.025,30,7,3534441.46523778
0.029,37,5,3528337.97923689
0.022,29,8,3527103.54538865
0.029,28,7,3523781.88362935
0.025,40,5,3520393.43851859
0.025,31,7,3520342.48565912
0.025,24,9,3520292.44473316
0.02,40,6,3518502.16555157
0.028,23,9,3485854.07479855
0.025,22,10,3475719.04199843
0.03,24,8,3475341.08086297
0.017,28,10,3470220.03822008
0.021,34,7,3467654.90038971
0.015,34,9,3456572.72292077
0.026,35,6,3452940.35786048
0.015,33,9,3451394.85395943
0.012,40,9,3409867.34867971
0.027,32,6,3407802.33741526
0.011,38,10,3398435.28752684
0.015,37,8,3375920.37460251
0.021,30,8,3373046.56184932
0.028,28,7,3371096.87152929
0.024,23,10,3361078.64189247
0.016,36,8,3360814.7666294
0.021,24,10,3360604.1526717
0.014,32,10,3358323.76371591
0.027,29,7,3355697.78254612
0.022,33,7,3347203.14902032
0.019,36,7,3332869.56087328
0.023,37,6,3329071.48741945
0.021,38,6,3327770.97528985
0.028,25,8,3323200.54847551
0.011,37,10,3317220.01164148
0.023,32,7,3308551.37672045
0.02,25,10,3301805.91696068
0.024,30,7,3290781.22697702
0.018,37,7,3289433.40315503
0.022,23,10,3289182.70432876
0.026,33,6,3287469.27816581
0.011,39,10,3285279.9674507
0.015,30,10,3282103.3412753
0.022,32,7,3277297.14262916
0.02,39,6,3271575.7443089
0.018,36,7,3265847.22718451
0.022,28,8,3265184.91687172
0.02,27,9,3263591.30633683
0.028,22,9,3259546.97796326
0.019,29,9,3259402.60125251
0.022,37,6,3248487.27629975
0.014,35,9,3247172.54855133
0.012,39,9,3246238.65320018
0.022,26,9,3230318.69515962
0.017,31,9,3217340.74112308
0.028,32,6,3211044.06515311
0.025,26,8,3207950.97214581
0.026,26,8,3202266.50706773
0.02,34,7,3198675.22692962
0.021,26,9,3188734.01569615
0.026,22,10,3186453.78515088
0.016,40,7,3181200.99654182
0.03,36,5,3180029.91712113
0.016,35,8,3168240.75942524
0.029,20,10,3166907.12148084
0.019,26,10,3162675.9979161
0.026,39,5,3157721.21481708
0.017,34,8,3149510.86077011
0.026,29,7,3142948.96873309
0.019,40,6,3139160.72573759
0.018,33,8,3135376.84074916
0.016,29,10,3130950.01838623
0.03,31,6,3110982.83616363
0.019,28,9,3108312.53524164
0.025,34,6,3077598.12174805
0.025,39,5,3071422.91978622
0.03,22,9,3068719.8100484
0.03,21,9,3059538.44031651
0.023,31,7,3051417.5225459
0.01,40,10,3043409.16421081
0.022,25,9,3037500.38421861
0.017,38,7,3037343.19683808
0.019,39,6,3036547.74750978
0.019,25,10,3001803.03751058
0.024,27,8,2992705.74852552
0.022,36,6,2984809.65373604
0.026,28,7,2977617.99775787
0.017,37,7,2976040.06758724
0.024,40,5,2966754.21118697
0.024,35,6,2963273.94914313
0.015,36,8,2961768.87736593
0.023,28,8,2959657.69363731
0.016,32,9,2953223.1457679
0.023,24,9,2950936.84857111
0.012,38,9,2949226.80212114
0.029,31,6,2948746.90577901
0.02,30,8,2936593.70858673
0.029,36,5,2934372.99283549
0.027,25,8,2933008.52135462
0.023,35,6,2926969.01629078
0.013,40,8,2920322.62206385
0.016,39,7,2901253.83477531
0.026,23,9,2887751.77492791
0.019,30,8,2882986.41491923
0.016,38,7,2879068.15343464
0.013,33,10,2871907.57703073
0.024,25,9,2869113.28027349
0.019,31,8,2858458.19383432
0.023,25,9,2857514.74945414
0.012,35,10,2854468.69265472
0.027,28,7,2854197.68511396
0.018,32,8,2840532.59226423
0.024,22,10,2839091.56337884
0.024,24,9,2834922.28374777
0.026,38,5,2826808.04482713
0.012,34,10,2817057.36031329
0.029,27,7,2814234.60413181
0.014,31,10,2813568.02442671
0.027,21,10,2811365.42063277
0.021,33,7,2811197.95690301
0.026,25,8,2809307.2449455
0.017,33,8,2808260.83495172
0.029,19,10,2805812.96390986
0.023,27,8,2804700.86189532
0.03,19,10,2803923.21151479
0.013,36,9,2799448.3050998
0.018,26,10,2798875.33758767
0.014,34,9,2791751.65616645
0.016,28,10,2787820.26610432
0.022,31,7,2787669.09214437
0.019,35,7,2785913.44042479
0.021,23,10,2774780.63585131
0.015,32,9,2768790.64393187
0.02,29,8,2757416.96509953
0.03,23,8,2748454.82242172
0.019,34,7,2748083.05010725
0.025,21,10,2744412.40282698
0.015,29,10,2733158.72058694
0.01,38,10,2732526.93966228
0.013,32,10,2704593.36630762
0.014,37,8,2700822.51425939
0.016,34,8,2692708.36027633
0.028,37,5,2692128.14558502
0.014,38,8,2683869.0966637
0.017,30,9,2664411.86579722
0.02,38,6,2659598.74127562
0.02,24,10,2650285.31387794
0.021,32,7,2646316.77214873
0.024,34,6,2634689.16497125
0.026,20,10,2631390.55758474
0.028,36,5,2625171.19538349
0.017,27,10,2621986.77234417
0.014,30,10,2621267.61842031
0.025,33,6,2620198.25116839
0.011,40,9,2618061.62823351
0.029,30,6,2616132.36800957
0.025,20,10,2612016.64780153
0.018,28,9,2594551.88027255
0.025,29,7,2592927.40120602
0.03,27,7,2580909.24040164
0.027,37,5,2578836.90793607
0.015,40,7,2578390.91258383
